,divsRank,finalRank,seedTime,divsTime,distance,improvement,improveZscore
374,2,3,31.2,30.49,50,-0.014200000000000016,0.1581513227753434
375,3,4,30.1,30.9,50,0.015999999999999945,0.6457229040070251
376,4,7,31.94,31.05,50,-0.01780000000000001,0.10003020713183172
377,5,5,31.7,31.21,50,-0.009799999999999968,0.22918824189519196
378,6,2,31.41,31.23,50,-0.0035999999999999943,0.3292857188367952
379,7,6,29.48,31.7,50,0.044399999999999974,1.104233927416952
380,8,8,33.43,32.07,50,-0.027199999999999988,-0.05173048371511542
381,9,10,36.72,34.51,50,-0.04420000000000002,-0.32619130758725495
382,10,9,35.05,34.85,50,-0.003999999999999915,0.3228278170986285
383,11,16,34.12,37.0,50,0.057600000000000054,1.3173446847764967
384,12,11,38.54,37.62,50,-0.018400000000000034,0.09034335452457935
385,13,24,39.9,37.69,50,-0.04420000000000002,-0.32619130758725495
386,14,12,39.06,37.85,50,-0.024200000000000017,-0.003296220678856041
387,15,13,40.81,38.25,50,-0.051200000000000044,-0.439204588005195
388,16,15,39.69,38.33,50,-0.027199999999999988,-0.05173048371511542
389,17,17,41.4,38.43,50,-0.05939999999999998,-0.5715915736376376
390,18,14,37.07,38.7,50,0.03260000000000005,0.913725826140998
391,19,20,39.02,38.79,50,-0.00460000000000008,0.31314096449137385
392,20,21,42.12,39.57,50,-0.05099999999999994,-0.4359756371361094
393,21,19,41.53,39.75,50,-0.03560000000000002,-0.1873464202166435
394,22,18,41.42,40.25,50,-0.023400000000000035,0.009619582797479613
395,23,22,41.0,40.81,50,-0.0037999999999999545,0.3260567679677118
