divsRank,school,year,points,divsSpeed,isRelay,divsTimePctOfMean,divsSpeedDiffFromMean,clipped_divsRank
13,3,2017,5,1.0501995379122033,False,1.040232965427302,-0.06129707156971964,13
14,3,2017,4,1.0473397570171763,False,1.0430733410942952,-0.06415685246474667,14
15,39,2017,7,0.9897070467141725,False,1.1038136822807665,-0.12178956276775044,15
16,46,2017,0,0.9801999607920016,False,1.114519713640972,-0.1312966486899214,16
17,10,2017,1,0.9701202949165697,False,1.1260997067448675,-0.14137631456535327,17
18,3,2017,2,0.9587727708533078,False,1.1394276233361436,-0.15272383862861516,18
19,46,2017,0,0.9556574923547401,False,1.1431419607468272,-0.1558391171271829,19
20,18,2017,0,0.9484066767830046,False,1.1518815781837295,-0.16308993269891836,20
21,33,2017,0,0.9377344336084021,False,1.164991004339083,-0.17376217587352083,21
22,18,2017,0,0.9237021984112321,False,1.1826887296488102,-0.18779441107069084,22
23,39,2017,0,0.9031791907514451,False,1.209563053267285,-0.20831741873047782,23
24,3,2017,0,0.8549931600547196,False,1.277732069275123,-0.2565034494272034,24
1,33,2016,20,1.4068655036578503,False,0.7765150092687736,0.2953688941759274,1
2,5,2016,18,1.3721185510428102,False,0.7961791485018038,0.26062194156088725,2
3,42,2016,16,1.2953367875647668,False,0.8433730826610766,0.1838401780828438,3
4,46,2016,14,1.2518778167250877,False,0.8726508010746994,0.14038120724316472,4
5,42,2016,12,1.2348728081007656,False,0.8846677750504401,0.12337619861884264,5
6,3,2016,11,1.223091976516634,False,0.89318890205142,0.11159536703471096,6
7,29,2016,7,1.1649580615097856,False,0.937760950979622,0.05346145202786268,7
8,29,2016,9,1.1446886446886446,False,0.9543662241097364,0.03319203520672165,8
9,52,2016,10,1.143902997025852,False,0.955021695417504,0.032406387543929105,9
10,42,2016,8,1.1263798152737103,False,0.969879045060238,0.014883205791787368,10
11,42,2016,6,1.1190689346463742,False,0.9762152677019922,0.007572325164451277,11
12,5,2016,3,1.0401497815685459,False,1.0502835254797396,-0.0713468279133771,12
13,34,2016,4,1.0375596596804317,False,1.0529054107108102,-0.07393694980149124,13
14,3,2016,2,1.0351966873706004,False,1.0553088055059585,-0.07629992211132253,14
15,49,2016,1,1.0237510237510237,False,1.0671072890457767,-0.0877455857308993,15
16,3,2016,5,1.0123506782749545,False,1.0791242630215174,-0.09914593120696846,16
1,3,2018,20,1.485001485001485,False,0.7356572977512551,0.373504875519562,1
2,34,2018,16,1.3997760358342666,False,0.7804478371153796,0.2882794263523436,2
3,42,2018,18,1.3808340237503451,False,0.791153868475585,0.26933741426842217,3
4,42,2018,14,1.2893243940175347,False,0.8473059105076827,0.17782778453561177,4
5,3,2018,12,1.2866700977869274,False,0.8490538339950631,0.17517348830500445,5
6,49,2018,11,1.223091976516634,False,0.89318890205142,0.11159536703471096,6
7,38,2018,0,1.1800802454566912,False,0.9257439770038811,0.06858363597476824,7
8,42,2018,10,1.1690437222352115,False,0.9344835944407835,0.0575471127532885,8
9,5,2018,4,1.1358473421172193,False,0.9617948989311034,0.0243507326352963,9
10,16,2018,9,1.134044000907235,False,0.9633243319825613,0.022547391425312036,10
11,48,2018,6,1.1233430689732644,False,0.9725009302913087,0.011846459491341443,11
12,33,2018,3,1.0787486515641855,False,1.0127031705010596,-0.032747957917737436,12
13,50,2018,8,1.064282673478076,False,1.0264680679641807,-0.047213936003847046,13
14,48,2018,5,1.0546298249314492,False,1.0358631567088508,-0.05686678455047378,14
15,46,2018,7,1.0471204188481675,False,1.0432918315302178,-0.06437619063375544,15
16,48,2018,0,1.0004001600640258,False,1.0920151987409483,-0.1110964494178972,16
17,33,2018,0,0.9984025559105432,False,1.0942001031001738,-0.1130940535713798,17
