divsRank,year,points,divsSpeed,isRelay,stroke,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,clipped_divsRank
21,2017,0,0.9966115208291807,False,Backstroke,1.1202606945108315,-0.13448920041226453,0.8712620491903534,-0.808077167743399,-1.2048645198467864,21
22,2017,0,0.9899029895070284,False,Backstroke,1.1278526545693062,-0.14119773173441685,0.9262641153668643,-0.8483853186871559,-1.2334359480897208,22
23,2017,0,0.9798157946306094,False,Backstroke,1.1394638875999148,-0.1512849266108358,1.0103849224603543,-0.9089941396276143,-1.2763970003296368,23
24,2017,0,0.9589566551591868,False,Backstroke,1.1642494042614062,-0.1721440660822584,1.1899504914483805,-1.0343260941188432,-1.3652354327670213,24
1,2016,20,1.4943215780035863,False,Backstroke,0.7471381869310827,0.3632208567621411,-1.8319277326023622,2.1824092960472057,0.9148672815667735,1
2,2016,14,1.2807377049180328,False,Backstroke,0.8717356490672286,0.14963698367658762,-0.9292467641760699,0.8990924891246154,0.005220145604082143,2
3,2016,16,1.2623074981065388,False,Backstroke,0.8844633468123188,0.13120677686509352,-0.8370374179389753,0.7883547549756724,-0.07327353745859125,3
4,2016,18,1.2616704516780217,False,Backstroke,0.8849099326981115,0.1305697304365765,-0.8338020022815329,0.7845270671605983,-0.07598669857325864,4
5,2016,11,1.2357884330202669,False,Backstroke,0.9034432469585059,0.10468771177882163,-0.6995322524976941,0.6290151876317712,-0.18621741873408756,5
6,2016,12,1.224589762429586,False,Backstroke,0.9117050858456697,0.09348904118814083,-0.6396770628350188,0.5617280747210799,-0.23391221180173624,6
7,2016,6,1.1619800139437602,False,Backstroke,0.9608295332828598,0.03087929270231493,-0.2837813405164088,0.18553795629920725,-0.5005652018927198,7
8,2016,10,1.1355893708834885,False,Backstroke,0.9831588275724917,0.004488649642043319,-0.12201055764431303,0.026970011559411516,-0.612962137715556,8
9,2016,9,1.120322652924042,False,Backstroke,0.9965564041462709,-0.010778068317403244,-0.024948087921055552,-0.06475992788249062,-0.6779826192094842,9
10,2016,4,1.1106175033318524,False,Backstroke,1.0052648289192274,-0.020483217909592843,0.03814251739906233,-0.12307323312143967,-0.7193165523528752,10
11,2016,5,1.1035091591260207,False,Backstroke,1.0117403242632206,-0.027591562115424573,0.08505604443196943,-0.16578365623040092,-0.7495907713510566,11
12,2016,7,1.102779003087781,False,Backstroke,1.0124102030919095,-0.028321718153664133,0.08990916791813233,-0.1701707923096006,-0.7527004834252656,12
13,2016,2,1.0862480990658265,False,Backstroke,1.0278174161517555,-0.044852622175618695,0.20153100809987776,-0.2694965824946155,-0.8231050944158236,13
