divsRank,qualified,points,divsSpeed,isRelay,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,clipped_divsRank
1.0,True,20,1.4964459408903852,False,0.7351063219215427,0.345892935624041,-1.4184291418595527,1.679074345482165,1.2692939994090189,1.0
2.0,True,18,1.4893141708243356,False,0.7386264719105421,0.3387611655579914,-1.3995797553270641,1.6444544648125086,1.2413898780355779,2.0
3.0,True,14,1.4405070584845865,False,0.7636525382385857,0.2899540532182423,-1.265572397947649,1.4075292149258993,1.0504247215593643,3.0
4.0,True,16,1.3958682300390843,False,0.7880735787872699,0.24531522477274015,-1.1348047788785056,1.1908381410824913,0.875768601777663,4.0
5.0,True,11,1.3781697905181918,False,0.7981940100056436,0.2276167852518476,-1.0806127925975992,1.1049242853947925,0.8065207993474522,5.0
6.0,True,10,1.371177841766077,False,0.8022641834304244,0.22062483649973275,-1.0588181894194082,1.0709831418631346,0.779163749861985,6.0
7.0,True,12,1.344628210299852,False,0.8181048583809223,0.19407520503350773,-0.9739959500232072,0.9421027847187545,0.6752843297471353,7.0
8.0,True,9,1.2809837955549863,False,0.8587515902851511,0.13043079028864213,-0.7563444399058722,0.6331525488935186,0.42626599946800436,8.0
9.0,False,0,1.182802058075581,False,0.9300346275623916,0.03224905280923673,-0.3746443626229673,0.15654716145155456,0.04211520746157958,9.0
10.0,False,0,1.1029006286533583,False,0.9974124984455858,-0.047652376612985936,-0.01385532352454252,-0.23131979532269425,-0.2705111340862129,10.0
11.0,False,0,1.0365379632029024,False,1.0612702193397803,-0.11401504206344182,0.32808432904139256,-0.5534652848067282,-0.5301650284552905,11.0
12.0,False,0,1.001602564102564,False,1.0982867965678536,-0.1489504411637801,0.526297409297099,-0.7230528257396736,-0.6668550237435747,12.0
13.0,False,0,0.9804402176577283,False,1.1219928066500224,-0.17011278760861592,0.6532362467268314,-0.8257815875792948,-0.7496558821944989,13.0
14.0,False,0,0.972100709633518,False,1.131618216776193,-0.17845229563282616,0.7047775380266064,-0.8662642125052167,-0.7822854596973037,14.0
15.0,False,0,0.8775008775008775,False,1.253613414832458,-0.2730521277654667,1.358026590043183,-1.3254818919130527,-1.1524215091337022,15.0
16.0,False,0,0.8236893043943825,False,1.335511904420275,-0.3268637008719617,1.7965693485881242,-1.586700386387774,-1.362967369888181,16.0
