,id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,eventMeanAge,eventMedianAge,gender,distance,stroke
69,75,38,,75,15,26,3,64.88,62.63,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
70,76,39,,76,15,5,3,56.94,64.08,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
71,77,40,,77,15,10,3,57.7,64.47,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
72,78,41,,78,15,43,3,59.69,64.79,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
73,79,42,,79,15,39,3,65.18,65.23,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
74,80,43,,80,15,17,3,63.86,65.96,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
75,81,44,,81,15,33,3,74.19,70.03999999999999,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
76,82,45,,82,15,34,3,74.13,70.2,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
77,83,46,,83,15,36,3,62.8,71.15,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
78,84,47,,84,15,48,3,106.56,86.72,,False,2017,14.88770053475936,15.0,Girls,50,Backstroke
79,97,1,1.0,97,16,3,4,31.0,34.58,34.01,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
80,98,2,2.0,98,16,42,4,31.99,36.98,36.5,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
81,99,3,3.0,99,16,52,4,37.89,38.49,38.02,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
82,100,4,4.0,100,16,49,4,38.79,39.8,39.73,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
83,101,5,5.0,101,16,42,4,43.53,42.64,42.57,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
84,102,6,6.0,102,16,45,4,44.54,44.29,42.97,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
85,103,7,8.0,103,16,16,4,47.1,44.86,44.5,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
86,104,8,7.0,104,16,38,4,40.4,44.88,43.81,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
87,105,9,9.0,105,16,5,4,44.5,44.92,45.44,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
88,106,10,12.0,106,16,3,4,53.5,45.28,47.96,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
89,107,11,10.0,107,16,46,4,45.34,45.36,46.6,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
90,108,12,11.0,108,16,48,4,48.78,48.43,46.8,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
91,109,13,15.0,109,16,27,4,36.0,48.66,49.1,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
92,110,14,14.0,110,16,3,4,53.19,48.87,48.39,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
93,111,15,13.0,111,16,49,4,51.99,49.28,48.06,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
94,112,16,17.0,112,16,49,4,49.84,50.85,49.93,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
95,113,17,16.0,113,16,27,4,52.06,52.18,49.19,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
96,114,18,18.0,114,16,43,4,52.03,53.13,51.13,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
97,115,19,20.0,115,16,48,4,52.44,53.38,51.76,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
98,116,20,19.0,116,16,36,4,59.2,53.85,51.6,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
99,117,21,23.0,117,16,3,4,55.69,54.15,54.81,True,2017,15.966666666666667,16.0,Girls,50,Backstroke
