id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,points,divsSpeed,numRelays,numEvents,gender,distance,stroke,isRelay,divsTimePctOfMean,normed_divsTimePctOfMean,normed_divsSpeed,normed_numRelays,normed_numEvents,normed_distance,clipped_divsRank,designation
2637,8.0,7.0,1215.0,16.0,42,1,171.02,176.49,172.75,True,2018,10,1.1332086803784915,2.0,2.0,Girls,200,Freestyle,False,0.9295115751871953,-0.3382711029497699,0.16325866339733464,1.0,1.0,1.0,8.0,
2638,9.0,8.0,1216.0,15.0,33,1,180.94,178.31,174.93,False,2018,9,1.121642084010992,2.0,2.0,Girls,200,Freestyle,False,0.9390968835153765,-0.29227159552853954,0.11076057992814535,1.0,1.0,1.0,9.0,
2639,10.0,,425.0,16.0,36,1,212.32,186.66,,False,2018,0,1.0714668381013608,1.0,2.0,Girls,200,Freestyle,False,0.9830734354606032,-0.08122989939267511,-0.11697315989979232,0.5,1.0,1.0,10.0,
2640,11.0,,423.0,16.0,50,1,197.64,189.93,,False,2018,0,1.0530195335123467,2.0,2.0,Girls,200,Freestyle,False,1.000295390533764,0.0014175672377774338,-0.20070117333828472,1.0,1.0,1.0,11.0,
2641,12.0,,1217.0,15.0,17,1,231.09,219.57,,False,2018,0,0.9108712483490459,2.0,2.0,Girls,200,Freestyle,False,1.156398983307,0.7505524023835289,-0.8458790893303777,1.0,1.0,1.0,12.0,
2642,13.0,,1218.0,15.0,33,1,266.68,219.81,,False,2018,0,0.9098767117055638,2.0,2.0,Girls,200,Freestyle,False,1.1576629800096174,0.7566182714940212,-0.8503930592195141,1.0,1.0,1.0,13.0,
2643,14.0,,1219.0,17.0,50,1,219.54,220.96,,False,2018,0,0.9051412020275162,2.0,2.0,Girls,200,Freestyle,False,1.1637196308763254,0.7856838943151284,-0.8718864332812079,1.0,1.0,1.0,14.0,
2644,15.0,,1220.0,15.0,33,1,211.66,247.69,,False,2018,0,0.8074609390770722,2.0,2.0,Girls,200,Freestyle,False,1.304497263630327,1.4612700664961662,-1.3152343668248878,1.0,1.0,1.0,15.0,
2645,16.0,,1221.0,15.0,10,1,270.22,249.35,,False,2018,0,0.8020854220974534,2.0,2.0,Girls,200,Freestyle,False,1.3132399074900964,1.503225661177068,-1.3396325847724793,1.0,1.0,1.0,16.0,
2646,,,1.0,16.0,26,1,145.24,,,False,2018,0,,0.0,2.0,Girls,200,Freestyle,False,,,,0.0,1.0,1.0,,
18,1.0,1.0,18.0,16.0,3,2,117.1,118.17,118.21000000000001,True,2017,20,1.6924769400016924,2.0,2.0,Boys,200,Freestyle,False,0.6499626940626166,-1.6640629518820527,2.1684339831769175,1.0,1.0,1.0,1.0,
19,2.0,4.0,19.0,15.0,3,2,137.07,137.52,134.57,True,2017,14,1.4543339150668992,2.0,2.0,Boys,200,Freestyle,False,0.7563922288862744,-1.1581013218443355,1.2155374694303176,1.0,1.0,1.0,2.0,
20,3.0,2.0,20.0,15.0,52,2,119.32,139.7,122.81,True,2017,18,1.4316392269148175,0.0,2.0,Boys,200,Freestyle,False,0.768382739786304,-1.1010989263155389,1.1247278006331467,0.0,1.0,1.0,3.0,
21,4.0,3.0,21.0,15.0,46,2,134.6,142.79,128.54,True,2017,16,1.4006583094054206,2.0,2.0,Boys,200,Freestyle,False,0.7853784639519423,-1.0203019528366477,1.0007619263630154,1.0,1.0,1.0,4.0,
22,5.0,5.0,22.0,17.0,26,2,139.59,143.07,134.59,True,2017,12,1.3979171035157616,2.0,2.0,Boys,200,Freestyle,False,0.7869185295721297,-1.0129805442366184,0.9897933685543922,1.0,1.0,1.0,5.0,
23,6.0,6.0,23.0,17.0,36,2,153.53,155.56,153.72,True,2017,11,1.2856775520699408,2.0,2.0,Boys,200,Freestyle,False,0.8556164567011987,-0.6863934248996115,0.5406822627116328,1.0,1.0,1.0,6.0,
24,7.0,7.0,24.0,17.0,52,2,172.09,172.6,163.74,True,2017,10,1.1587485515643106,1.0,2.0,Boys,200,Freestyle,False,0.9493404501583113,-0.24083341581213358,0.032793349701170434,0.5,1.0,1.0,7.0,
25,8.0,8.0,25.0,15.0,33,2,178.88,187.79,175.36,True,2017,9,1.065019436604718,2.0,2.0,Boys,200,Freestyle,False,1.032889010053472,0.1563530007394384,-0.3422507940691768,1.0,1.0,1.0,8.0,
26,9.0,,26.0,15.0,33,2,189.47,189.96,,False,2017,0,1.052853232259423,2.0,2.0,Boys,200,Freestyle,False,1.0448245186099236,0.21309391738966346,-0.3909321850498059,1.0,1.0,1.0,9.0,
27,10.0,,27.0,15.0,39,2,193.47,192.67,,False,2017,0,1.0380443244926558,2.0,2.0,Boys,200,Freestyle,False,1.0597301537195933,0.2839546934828001,-0.45018798977980523,1.0,1.0,1.0,10.0,
28,11.0,,28.0,16.0,39,2,221.78,207.95,,False,2017,0,0.961769656167348,2.0,2.0,Boys,200,Freestyle,False,1.1437737347069572,0.6834944199415245,-0.7553905694239722,1.0,1.0,1.0,11.0,
29,12.0,,29.0,15.0,39,2,220.53,208.92000000000002,,False,2017,0,0.9573042312847022,2.0,2.0,Boys,200,Freestyle,False,1.1491089620340347,0.7088578711630538,-0.7732583520484501,1.0,1.0,1.0,12.0,
30,13.0,,30.0,17.0,34,2,213.77,221.64,,False,2017,0,0.9023641941887747,0.0,2.0,Boys,200,Freestyle,False,1.2190719430654002,1.0414590047072267,-0.9930933433447644,0.0,1.0,1.0,13.0,
31,14.0,,31.0,16.0,39,2,240.71,222.94,,False,2017,0,0.8971023593792051,2.0,2.0,Boys,200,Freestyle,False,1.2262222477305558,1.075451258921648,-1.0141478505986394,1.0,1.0,1.0,14.0,
32,15.0,,32.0,16.0,39,2,245.37,236.24,,False,2017,0,0.8465966813410091,2.0,2.0,Boys,200,Freestyle,False,1.2993753646894521,1.4232181674230238,-1.216239364890032,1.0,1.0,1.0,15.0,
33,16.0,,33.0,15.0,3,2,270.06,239.28,,False,2017,0,0.8358408559010364,0.0,2.0,Boys,200,Freestyle,False,1.3160960771372,1.5027077465090526,-1.2592773189389626,0.0,1.0,1.0,16.0,
34,17.0,,34.0,16.0,39,2,263.61,249.07,,False,2017,0,0.8029871120568515,1.0,2.0,Boys,200,Freestyle,False,1.3699433715001772,1.7586955686314947,-1.390737049834796,0.5,1.0,1.0,17.0,
35,,,35.0,15.0,33,2,139.97,,,False,2017,0,,0.0,2.0,Boys,200,Freestyle,False,,,,0.0,1.0,1.0,,
36,,,36.0,16.0,52,2,236.72,,,False,2017,0,,0.0,2.0,Boys,200,Freestyle,False,,,,0.0,1.0,1.0,,
