qualified,points,normed_divsTimePctOfMean,normed_divsSpeed,clipped_divsRank
TRUE,0,0.352108133,-0.504960225,21
TRUE,0,0.356255283,-0.508551072,22
TRUE,0,0.436087916,-0.576656132,23
TRUE,0,0.493111225,-0.624145815,24
FALSE,0,0.561539196,-0.679905822,24
FALSE,0,0.879832939,-0.922943403,24
FALSE,0,0.900568687,-0.937905438,24
FALSE,0,1.226119943,-1.160272174,24
FALSE,0,3.824309259,-2.36391511,24
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
TRUE,20,-1.812704035,2.548088706,1
TRUE,18,-1.552470388,1.99265131,2
TRUE,16,-1.327487514,1.571670645,3
TRUE,14,-1.319193215,1.557068844,4
TRUE,12,-0.696083965,0.611799946,5
TRUE,11,-0.628692782,0.524801755,6
TRUE,6,-0.596552371,0.484195461,7
TRUE,9,-0.566485536,0.446712171,8
TRUE,5,-0.479395391,0.34079947,9
TRUE,0,-0.399562758,0.247045653,10
TRUE,0,-0.377790222,0.222008331,11
TRUE,10,-0.346686599,0.186625488,12
TRUE,7,-0.336318725,0.174930506,13
TRUE,0,-0.218124957,0.04500587,14
TRUE,8,-0.17250631,-0.003526481,15
TRUE,0,-0.167322372,-0.008986528,16
FALSE,4,-0.121703725,-0.056560075,17
FALSE,2,-0.102004764,-0.076843158,18
FALSE,3,-0.064680416,-0.114852617,19
FALSE,0,-0.03876073,-0.140928479,20
FALSE,0,0.15511852,-0.32806204,21
FALSE,0,0.345887409,-0.499563996,22
FALSE,0,0.427793616,-0.569669246,23
FALSE,0,0.578127795,-0.693226623,24
FALSE,0,0.677659389,-0.771588926,24
FALSE,0,0.755418446,-0.831005769,24
FALSE,0,0.772007045,-0.843483169,24
FALSE,0,0.780301345,-0.849696179,24
FALSE,0,0.807257818,-0.869771182,24
FALSE,0,1.050902866,-1.043440741,24
FALSE,0,1.118294049,-1.089135293,24
FALSE,0,1.347424073,-1.237526827,24
FALSE,0,1.541303323,-1.355281927,24
FALSE,0,1.941503274,-1.578302948,24
FALSE,0,2.441234819,-1.824256414,24
FALSE,0,3.564075613,-2.275292762,24
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
TRUE,18,-1.874911281,2.693501911,1
TRUE,20,-1.869727344,2.681180453,2
TRUE,16,-1.507888528,1.905222588,3
TRUE,14,-1.403172997,1.707811741,4
TRUE,12,-1.178190123,1.317912925,5
TRUE,10,-1.048591694,1.11221739,6
TRUE,9,-0.736518675,0.665242547,7
TRUE,8,-0.701267902,0.618598605,8
TRUE,7,-0.66601713,0.572670159,9
TRUE,11,-0.658759618,0.56330162,10
TRUE,3,-0.467990729,0.327214899,11
TRUE,5,-0.45969643,0.317375736,12
TRUE,2,-0.259596454,0.089894294,13
TRUE,0,-0.159028073,-0.017699529,14
TRUE,1,-0.11963015,-0.058702454,15
TRUE,6,-0.082305803,-0.096971966,16
TRUE,0,0.032777603,-0.211573182,17
TRUE,0,0.0825434,-0.259601927,18
TRUE,4,0.148897796,-0.322265989,19
TRUE,0,0.166523182,-0.338653633,20
TRUE,0,0.231840791,-0.398467451,21
TRUE,0,0.247392602,-0.412499798,22
TRUE,0,0.307526274,-0.466020891,23
TRUE,0,0.452676515,-0.590569062,24
FALSE,0,0.45475009,-0.592302501,24
FALSE,0,0.526288423,-0.651345612,24
FALSE,0,0.629967166,-0.734370681,24
FALSE,0,0.711873374,-0.7979229,24
FALSE,0,0.911973349,-0.946091719,24
FALSE,0,0.991805982,-1.002559687,24
FALSE,0,1.070601827,-1.056898202,24
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
TRUE,20,-1.577514914,2.002900377,1
TRUE,18,-1.465036132,1.792689459,2
TRUE,16,-1.457162618,1.778403592,3
TRUE,14,-1.129849363,1.229188374,4
TRUE,11,-0.929637131,0.931299955,5
TRUE,12,-0.855401135,0.827254586,6
TRUE,10,-0.586576847,0.476336868,7
TRUE,9,-0.485345943,0.353778807,8
TRUE,0,-0.335749164,0.181317398,9
TRUE,8,-0.287383287,0.127642289,10
TRUE,3,-0.272761046,0.111607296,11
TRUE,6,-0.235643048,0.07129669,12
TRUE,5,-0.231143897,0.066448528,13
TRUE,4,-0.216521655,0.050748111,14
TRUE,7,0.096169358,-0.265659898,15
TRUE,0,0.151283961,-0.317854531,16
TRUE,1,0.210897716,-0.373192671,17
TRUE,2,0.279509773,-0.43549145,18
TRUE,0,0.298631166,-0.452594569,19
TRUE,0,0.343622678,-0.492402104,20
TRUE,0,0.411109947,-0.550993539,21
TRUE,0,0.502217761,-0.628031589,22
TRUE,0,0.640566662,-0.740704478,23
TRUE,0,0.991500461,-1.00524949,24
FALSE,0,1.308690626,-1.221187801,24
FALSE,0,1.445914739,-1.308571176,24
FALSE,0,1.776602358,-1.505768396,24
FALSE,0,3.045363016,-2.122164284,24
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
TRUE,20,-1.588762792,2.024572094,1
TRUE,18,-1.487531889,1.833808653,2
TRUE,16,-1.24457772,1.41227087,3
TRUE,14,-1.093856153,1.17367778,4
TRUE,12,-1.031992823,1.080318975,5
TRUE,11,-0.988126098,1.015641305,6
TRUE,7,-0.758669383,0.696481643,7
TRUE,9,-0.673185509,0.585200987,8
TRUE,10,-0.669811145,0.580887721,9
TRUE,8,-0.593325574,0.484684106,10
TRUE,6,-0.560706727,0.444546809,11
TRUE,3,-0.179403657,0.011274593,12
TRUE,4,-0.165906203,-0.002945375,13
TRUE,2,-0.153533537,-0.015918275,14
TRUE,1,-0.092794995,-0.078755848,15
TRUE,5,-0.030931665,-0.141344621,16
FALSE,0,0.187277172,-0.351402931,17
FALSE,0,0.323376498,-0.474563721,18
FALSE,0,0.362744071,-0.509137977,19
FALSE,0,0.43023134,-0.567355472,20
FALSE,0,0.494344246,-0.621465112,21
FALSE,0,0.552833212,-0.669842476,22
FALSE,0,1.096105728,-1.078728697,23
FALSE,0,1.414420681,-1.288818865,24
FALSE,0,1.436916437,-1.302945735,24
FALSE,0,2.053300161,-1.657651638,24
FALSE,0,2.196148214,-1.731835791,24
FALSE,0,2.995872352,-2.101536396,24
FALSE,0,,,
FALSE,0,,,
TRUE,20,-1.799098114,2.453544637,1
TRUE,16,-1.568516612,1.98565037,2
TRUE,18,-1.513402008,1.881657268,3
TRUE,14,-1.224331539,1.379262367,4
TRUE,12,-1.215333237,1.364690077,5
TRUE,11,-0.988126098,1.015641305,6
TRUE,0,-0.820532713,0.779503595,7
TRUE,10,-0.7755412,0.718912234,8
TRUE,4,-0.634942723,0.536661556,9
TRUE,9,-0.627069208,0.526761074,10
TRUE,6,-0.57982812,0.468012135,11
TRUE,3,-0.372867162,0.223185356,12
TRUE,8,-0.302005529,0.143766025,13
TRUE,5,-0.253639653,0.090771144,14
TRUE,7,-0.215396867,0.049543928,15
TRUE,0,0.035430816,-0.206953884,16
TRUE,0,0.046678694,-0.217920884,17
TRUE,0,0.05905136,-0.229934109,18
TRUE,2,0.106292449,-0.275322437,19
TRUE,1,0.242391775,-0.401970938,20
TRUE,0,0.350371405,-0.498321193,21
TRUE,0,0.417858674,-0.556780239,22
TRUE,0,0.513465639,-0.637382863,23
TRUE,0,0.523588729,-0.645769572,24
FALSE,0,0.624819633,-0.728133068,24
FALSE,0,0.688932538,-0.778922169,24
FALSE,0,0.688932538,-0.778922169,24
FALSE,0,0.740672778,-0.819159334,24
FALSE,0,0.92513798,-0.957409671,24
FALSE,0,1.018495369,-1.024434687,24
FALSE,0,1.045490276,-1.043463695,24
FALSE,0,1.196211844,-1.146925117,24
FALSE,0,,,
TRUE,20,-1.808267755,2.401838921,1
TRUE,16,-1.400253018,1.603532447,2
TRUE,18,-1.330967497,1.484666112,3
TRUE,14,-1.327668187,1.47911173,4
TRUE,12,-0.984539891,0.948854202,5
TRUE,10,-0.777783097,0.669011537,6
TRUE,7,-0.665606538,0.527845742,7
TRUE,8,-0.652409296,0.511695205,8
TRUE,11,-0.638112284,0.494304089,9
TRUE,9,-0.536933427,0.374272055,10
TRUE,6,-0.456650204,0.282667834,11
TRUE,2,-0.343373876,0.158562313,12
TRUE,0,-0.266389963,0.077467071,13
TRUE,0,-0.218000075,0.027774015,14
TRUE,4,-0.171809728,-0.018769189,15
TRUE,0,-0.082728343,-0.106161322,16
TRUE,5,-0.059633169,-0.128324731,17
TRUE,1,0.047044538,-0.228169763,18
TRUE,3,0.072339252,-0.251252493,19
