divsRank,swimmerage,qualified,points,divsSpeed,numRelays,numSwimmers,numQualified,gender,distance,stroke,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,normed_numSwimmers,normed_numQualified,normed_swimmerage,clipped_divsRank,normed_numRelays
5,15,True,11,1.2152883271556176,2,16,8,Girls,200,Freestyle,1.0300163251255678,-0.05125902177468289,0.21321193111477935,-0.3050138881755888,-0.20508813856787075,-0.5913632720556408,-1.0238112902275098,-1.0911794927742544,0.20833333333333334,1.0
6,16,True,12,1.2055455093429777,0,16,8,Girls,200,Freestyle,1.038340574456655,-0.06100183958732286,0.27234073077754006,-0.36298797039436886,-0.24646082194418037,-0.5913632720556408,-1.0238112902275098,0.05360786731537488,0.25,0.0
7,17,True,0,1.1835019823658204,2,16,8,Girls,200,Freestyle,1.0576803717747445,-0.08304536656448014,0.40971516006921693,-0.49415672156486107,-0.34006822379253193,-0.5913632720556408,-1.0238112902275098,1.1983952274050043,0.2916666666666667,1.0
8,16,True,10,1.1332086803784915,2,16,8,Girls,200,Freestyle,1.1046216274011755,-0.13333866855180898,0.7431482408742585,-0.7934241491754446,-0.5536377371597393,-0.5913632720556408,-1.0238112902275098,0.05360786731537488,0.3333333333333333,1.0
1,16,True,20,1.6924769400016924,2,17,8,Boys,200,Freestyle,0.7770699589830425,0.3518271962554891,-1.5835164481289339,2.093527683136644,1.8212838792325392,-0.5314485971090791,-1.0238112902275098,0.05360786731537488,0.041666666666666664,1.0
2,15,True,14,1.4543339150668992,2,17,8,Boys,200,Freestyle,0.9043129454121014,0.11368417132069597,-0.6796841920529809,0.6764711833746218,0.8100142282572967,-0.5314485971090791,-1.0238112902275098,-1.0911794927742544,0.08333333333333333,1.0
3,15,True,18,1.4316392269148175,0,17,8,Boys,200,Freestyle,0.918648330963282,0.09098948316861422,-0.5778570955028229,0.5414277347378817,0.71364168334303,-0.5314485971090791,-1.0238112902275098,-1.0911794927742544,0.125,0.0
4,15,True,16,1.4006583094054206,2,17,8,Boys,200,Freestyle,0.938967753602341,0.060008565659217306,-0.4335241925945704,0.3570775504849403,0.5820818291537285,-0.5314485971090791,-1.0238112902275098,-1.0911794927742544,0.16666666666666666,1.0
5,17,True,12,1.3979171035157616,2,17,8,Boys,200,Freestyle,0.9408089957832266,0.057267359769558324,-0.4204454829459257,0.34076616104075724,0.5704413524946041,-0.5314485971090791,-1.0238112902275098,1.1983952274050043,0.20833333333333334,1.0
6,17,True,11,1.2856775520699408,2,17,8,Boys,200,Freestyle,1.0229415487805882,-0.05497219167626244,0.16295838673824276,-0.3271088940872453,0.0938183145227298,-0.5314485971090791,-1.0238112902275098,1.1983952274050043,0.25,1.0
7,17,True,10,1.1587485515643106,1,17,8,Boys,200,Freestyle,1.1349942872173406,-0.1819011921818927,0.9588912882128794,-1.0823926787962457,-0.44518317869804247,-0.5314485971090791,-1.0238112902275098,1.1983952274050043,0.2916666666666667,0.5
8,15,True,9,1.065019436604718,2,17,8,Boys,200,Freestyle,1.2348816755303846,-0.2756303071414852,1.6684112866518308,-1.6401224363938078,-0.8432020137966518,-0.5314485971090791,-1.0238112902275098,-1.0911794927742544,0.3333333333333333,1.0
1,15,True,20,1.4964459408903852,1,16,8,Boys,200,Freestyle,0.8788643481262896,0.1557961971441819,-0.8604506432681719,0.9270563933662088,0.9888421140122452,-0.5913632720556408,-1.0238112902275098,-1.0911794927742544,0.041666666666666664,0.5
2,17,True,18,1.4893141708243356,2,16,8,Boys,200,Freestyle,0.8830729016825994,0.14866442707813232,-0.8305564497855569,0.8846192019780882,0.9585571933117357,-0.5913632720556408,-1.0238112902275098,1.1983952274050043,0.08333333333333333,1.0
