id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,points,divsSpeed,divsTimePctOfMean,normed_divsTimePctOfMean,normed_divsSpeed,clipped_divsRank,designation
26,9.0,,26.0,15.0,33,2,189.47,189.96,,False,2017,0,1.052853232259423,1.0448245186099232,0.213093917389663,-0.3909321850498067,9.0,
27,10.0,,27.0,15.0,39,2,193.47,192.67,,False,2017,0,1.0380443244926558,1.0597301537195931,0.2839546934828007,-0.45018798977980595,10.0,
28,11.0,,28.0,16.0,39,2,221.78,207.95,,False,2017,0,0.961769656167348,1.1437737347069568,0.6834944199415242,-0.7553905694239728,11.0,
29,12.0,,29.0,15.0,39,2,220.53,208.92000000000002,,False,2017,0,0.9573042312847022,1.1491089620340345,0.7088578711630544,-0.7732583520484506,12.0,
30,13.0,,30.0,17.0,34,2,213.77,221.64,,False,2017,0,0.9023641941887747,1.2190719430654,1.0414590047072274,-0.993093343344765,13.0,
31,14.0,,31.0,16.0,39,2,240.71,222.94,,False,2017,0,0.8971023593792051,1.2262222477305553,1.0754512589216478,-1.0141478505986399,14.0,
32,15.0,,32.0,16.0,39,2,245.37,236.24,,False,2017,0,0.8465966813410091,1.299375364689452,1.4232181674230246,-1.2162393648900325,15.0,
33,16.0,,33.0,15.0,3,2,270.06,239.28,,False,2017,0,0.8358408559010364,1.3160960771371997,1.5027077465090535,-1.259277318938963,16.0,
34,17.0,,34.0,16.0,39,2,263.61,249.07,,False,2017,0,0.8029871120568515,1.3699433715001768,1.7586955686314947,-1.3907370498347964,17.0,
35,,,35.0,15.0,33,2,139.97,,,False,2017,0,,,,,,
36,,,36.0,16.0,52,2,236.72,,,False,2017,0,,,,,,
37,,,37.0,15.0,39,2,216.38,,,False,2017,0,,,,,,
1286,1.0,1.0,521.0,15.0,3,2,130.14,133.65,128.19,True,2016,20,1.4964459408903852,0.7351063219215427,-1.2592936478518786,1.3840429404807248,1.0,
1287,2.0,2.0,720.0,17.0,26,2,125.66,134.29,128.71,True,2016,18,1.4893141708243356,0.7386264719105421,-1.2425589996232413,1.3555061448527959,2.0,
1288,3.0,4.0,480.0,15.0,27,2,146.23,138.84,140.55,True,2016,14,1.4405070584845865,0.7636525382385857,-1.1235861098727702,1.1602112072525024,3.0,
1289,4.0,3.0,721.0,17.0,49,2,143.46,143.28,132.95,True,2016,16,1.3958682300390843,0.7880735787872699,-1.0074894877865965,0.9815950835381986,4.0,
1290,5.0,6.0,722.0,15.0,29,2,148.69,145.12,143.19,True,2016,11,1.3781697905181918,0.7981940100056436,-0.9593773741292632,0.9107772154825149,5.0,
1291,6.0,7.0,723.0,17.0,3,2,147.73,145.86,145.61,True,2016,10,1.371177841766077,0.8022641834304244,-0.9400279371149005,0.8827998955840655,6.0,
1292,7.0,5.0,724.0,17.0,30,2,154.0,148.74,141.99,True,2016,12,1.344628210299852,0.8181048583809223,-0.8647220200860309,0.7765652020743561,7.0,
1293,8.0,8.0,522.0,14.0,17,2,158.44,156.13,159.57999999999998,True,2016,9,1.2809837955549863,0.8587515902851511,-0.6714891288209809,0.5219008425096324,8.0,
1294,9.0,,725.0,17.0,5,2,176.82,169.09,,False,2016,0,1.182802058075581,0.9300346275623916,-0.33261250219106825,0.129040143006355,9.0,
1295,10.0,,485.0,14.0,5,2,189.41,181.34,,False,2016,0,1.1029006286533583,0.9974124984455858,-0.012300875939800527,-0.19067442163669324,10.0,
1296,11.0,,726.0,17.0,3,2,185.82,192.95,,False,2016,0,1.0365379632029024,1.0612702193397803,0.29127610208282906,-0.4562154870027119,11.0,
1297,12.0,,257.0,15.0,3,2,150.46,199.68,,False,2016,0,1.001602564102564,1.0982867965678536,0.46725138736209737,-0.5960046746901264,12.0,
1298,13.0,,727.0,15.0,48,2,191.9,203.99,,False,2016,0,0.9804402176577283,1.1219928066500224,0.5799487840268299,-0.6806828892021971,13.0,
1299,14.0,,728.0,16.0,33,2,221.69,205.74,,False,2016,0,0.972100709633518,1.131618216776193,0.625707587777011,-0.7140522819224233,14.0,
1300,15.0,,506.0,16.0,27,2,198.94,227.92000000000002,,False,2016,0,0.8775008775008775,1.253613414832458,1.2056677404507352,-1.0925804805328567,15.0,
