id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,points,divsSpeed,numRelays,numEvents,seedSpeed,teamSize,gender,distance,stroke,seedTimePctOfMean,divsTimePctOfMean,divsTimePctOfSeed,seedSpeedDiffFromMean,divsSpeedDiffFromMean,normed_seedTimePctOfMean,normed_divsTimePctOfMean,normed_seedSpeedDiffFromMean,normed_divsSpeedDiffFromMean,normed_divsTimePctOfSeed,normed_seedSpeed,normed_divsSpeed,normed_divsRank,normed_distance,normed_teamSize,clipped_divsRank,log_teamSize
1906,1.0,1.0,963,17,16,1,141.23,135.66,129.46,True,2016,20,1.4742739200943535,2,2,1.4161297174821215,25,Girls,200,Freestyle,0.7286673068580501,0.7144741361544275,0.960560787368123,0.33738627163345525,0.37703506829298905,-4.551912937550511,-7.759157523435747,6.046897992321367,8.623236973248217,-1.7700880552342344,4.27661204565995,4.956023155029951,-0.06934578476967339,0.045145798290379985,-0.01844767976839285,0.041666666666666664,3.2188758248682006
1907,2.0,2.0,304,16,3,1,137.63,137.99,135.76,True,2016,18,1.4493803898833248,2,2,1.4531715469011117,134,Girls,200,Freestyle,0.7100933331648619,0.7267454374756704,1.002615708784422,0.3744281010524455,0.35214153808196036,-4.86351236251002,-7.425685246400393,6.710790339989114,8.053892558994415,2.8795575786855445,4.7899937460960444,4.571603605839522,-0.06473569093973125,0.045145798290379985,0.06114951353594598,0.08333333333333333,4.897839799950911
1908,3.0,3.0,964,16,43,1,154.63,147.37,146.87,True,2016,16,1.3571283164823233,0,2,1.2934100756644895,29,Girls,200,Freestyle,0.7978037644938065,0.7761466419362965,0.9530492142533791,0.2146666298158233,0.25988946468095886,-3.3920706335345594,-6.083208869322451,3.847421552059914,5.94397876818453,-2.60057713857139,2.5757776273429887,3.146996482299295,-0.06012559710978912,0.045145798290379985,-0.015526681848967572,0.125,3.367295829986474
1909,4.0,4.0,668,15,55,1,156.85,152.18,155.74,True,2016,14,1.3142331449599158,1,2,1.2751036021676763,12,Girls,200,Freestyle,0.8092577149379393,0.8014792425179182,0.9702263308893848,0.19636015631901005,0.21699429315855134,-3.199917654809529,-5.394796142910411,3.5193187596776894,4.962915572337697,-0.7014532624539815,2.3220588278075613,2.4845857129426654,-0.05551550327984698,0.045145798290379985,-0.027940923006525006,0.16666666666666666,2.4849066497880004
1910,5.0,5.0,5,15,45,1,162.19,162.53,163.35,True,2016,12,1.2305420537746878,0,2,1.233121647450521,8,Girls,200,Freestyle,0.8368091092495019,0.8559891003182891,1.0020963068006659,0.1543782016018549,0.13330320197332335,-2.73771184111959,-3.9134922513585257,2.7668856613662904,3.048801548124089,2.8221318343329376,1.7402093987058016,1.1921819730172256,-0.05090540944990484,0.045145798290379985,-0.030861920925950283,0.20833333333333334,2.0794415416798357
1911,6.0,6.0,375,15,3,1,158.6,174.6,169.28,True,2016,11,1.145475372279496,2,2,1.2610340479192939,134,Girls,200,Freestyle,0.8182867299276836,0.919557601154084,1.1008827238335435,0.18229060207062764,0.04823652047813143,-3.048445712120879,-2.186019983626035,3.267153314636019,1.1032261501061076,13.744083824224901,2.127061663852441,-0.12146438707274089,-0.0462953156199627,0.045145798290379985,0.06114951353594598,0.25,4.897839799950911
1912,7.0,7.0,7,15,49,1,176.94,178.43,176.07,True,2016,10,1.1208877430925293,2,2,1.1303266644060133,53,Girls,200,Freestyle,0.9129108070202039,0.9397288818666851,1.0084209336498249,0.051583218557347044,0.023648891291164764,-1.4610197527438227,-1.6378659831773636,0.9245143829407858,0.5408780532844982,3.521390627953386,0.31552103910135476,-0.5011600448435943,-0.041685221790020564,0.045145798290379985,0.0019993056675840963,0.2916666666666667,3.970291913552122
1913,8.0,8.0,965,17,55,1,167.78,185.67,181.31,True,2016,9,1.077179942909463,0,2,1.1920371915603767,12,Girls,200,Freestyle,0.8656503628453137,0.9778594490623068,1.1066277267850757,0.11329374571171047,-0.020058908891901428,-2.2538671784741298,-0.6016688648357567,2.0305382319497363,-0.45877091906275125,14.379258662052452,1.170798865878262,-1.1761198717561998,-0.037075127960078426,0.045145798290379985,-0.027940923006525006,0.3333333333333333,2.4849066497880004
1914,9.0,,966,15,38,1,192.03,197.42000000000002,,False,2016,0,1.013068584743187,0,2,1.041503931677342,18,Girls,200,Freestyle,0.9907667134174848,1.0397426209612788,1.0280685309587045,-0.037239514171324206,-0.08417026705817743,-0.15489882978854547,1.08000463523523,-0.6674354068628147,-1.9250733419317552,5.693653991376066,-0.9155187416241688,-2.166162633684239,-0.03246503413013629,0.045145798290379985,-0.02355942612738709,0.375,2.8903717578961645
1915,10.0,,967,17,27,1,200.93,203.59,,False,2016,0,0.982366520948966,0,2,0.9953715224207436,12,Girls,200,Freestyle,1.0366857039367559,1.0722378695243986,1.0132384412481958,-0.08337192342792266,-0.11487233085239845,0.6154441930280199,1.9630621242086772,-1.4942561650522277,-2.6272657742272507,4.054020399137777,-1.5548914475851898,-2.640280744813424,-0.027854940300194145,0.045145798290379985,-0.027940923006525006,0.4166666666666667,2.4849066497880004
1916,11.0,,968,17,55,1,213.37,204.39,,False,2016,0,0.9785214540828808,0,2,0.9373388948774429,12,Girls,200,Freestyle,1.1008691019209953,1.076451191866456,0.9579134836200027,-0.1414045509712233,-0.11871739771848366,1.6921933170547678,2.0775590433624425,-2.5343618495003595,-2.7152069912454824,-2.0627773267765743,-2.359195378472585,-2.699658376621253,-0.023244846470252007,0.045145798290379985,-0.027940923006525006,0.4583333333333333,2.4849066497880004
1917,12.0,,969,15,39,1,219.0,207.98,,False,2016,0,0.9616309260505819,0,2,0.91324200913242,56,Girls,200,Freestyle,1.129916733002287,1.0953584758764399,0.9496803652968036,-0.16550143671624618,-0.13560792575078262,2.1795001955331124,2.591363968064982,-2.9662448936067918,-3.101513300855448,-2.9730413666511444,-2.6931664693456496,-2.9604911760161747,-0.01863475264030987,0.045145798290379985,0.004190054107153055,0.5,4.02535169073515
1918,13.0,,532,15,39,1,261.0,245.21,,False,2016,0,0.8156274213939072,2,2,0.7662835249042146,56,Girls,200,Freestyle,1.3466130927561502,1.2914359643699482,0.9395019157088123,-0.31245992094445163,-0.2816114304074573,5.814826820060719,7.919764343183513,-5.6001486352491625,-6.440785759726262,-4.098383706930355,-4.7299394287262215,-5.215157387057448,-0.01402465881036773,0.045145798290379985,0.004190054107153055,0.5416666666666666,4.02535169073515
1919,14.0,,137,15,39,1,245.0,252.02,,False,2016,0,0.7935878104912308,2,2,0.8163265306122449,56,Girls,200,Freestyle,1.2640620985642024,1.3273018708067141,1.0286530612244897,-0.2624169152364213,-0.30365104131013365,4.429940486907347,8.894419367479975,-4.703239139552868,-6.944857671319048,5.758280401476758,-4.036367762091671,-5.555505148733521,-0.009414564980425592,0.045145798290379985,0.004190054107153055,0.5833333333333334,4.02535169073515
1920,15.0,,12,14,39,1,248.0,261.79,,False,2016,0,0.7639711218915924,2,2,0.8064516129032258,56,Girls,200,Freestyle,1.2795404099751926,1.3787570699090932,1.0556048387096775,-0.27229183294544046,-0.33326772990977205,4.689606674373604,10.292712992645377,-4.880225060704633,-7.622226291998966,8.738103221019875,-4.173229308204286,-6.012862300711196,-0.004804471150483453,0.045145798290379985,0.004190054107153055,0.625,4.02535169073515
